System,Complexity,NDCG@10,Recall@10,Query
vector_only,Complex,0.3562071871080222,1.0,How does OES plan to mitigate the risks associated...
fixed_rrf,Complex,1.0,1.0,How does OES plan to mitigate the risks associated...
adaptive_fixed,Complex,1.0,1.0,How does OES plan to mitigate the risks associated...
qalf,Complex,1.0,1.0,How does OES plan to mitigate the risks associated...
vector_only,Complex,1.0,1.0,What is the goal that the Bureau Objective 1.1 sup...
fixed_rrf,Complex,0.43067655807339306,1.0,What is the goal that the Bureau Objective 1.1 sup...
adaptive_fixed,Complex,0.43067655807339306,1.0,What is the goal that the Bureau Objective 1.1 sup...
qalf,Complex,0.43067655807339306,1.0,What is the goal that the Bureau Objective 1.1 sup...
vector_only,Complex,0.0,0.0,What is the objective number of the Bureau Cross-C...
fixed_rrf,Complex,0.0,0.0,What is the objective number of the Bureau Cross-C...
adaptive_fixed,Complex,0.0,0.0,What is the objective number of the Bureau Cross-C...
qalf,Complex,0.0,0.0,What is the objective number of the Bureau Cross-C...
vector_only,Complex,0.31546487678572877,1.0,What is the page range for the 'Bureau Goals and O...
fixed_rrf,Complex,0.0,0.0,What is the page range for the 'Bureau Goals and O...
adaptive_fixed,Complex,0.0,0.0,What is the page range for the 'Bureau Goals and O...
qalf,Complex,0.0,0.0,What is the page range for the 'Bureau Goals and O...
vector_only,Simple,0.0,0.0,What is the most common abbreviation in the report...
fixed_rrf,Simple,0.0,0.0,What is the most common abbreviation in the report...
adaptive_fixed,Simple,0.0,0.0,What is the most common abbreviation in the report...
qalf,Simple,0.0,0.0,What is the most common abbreviation in the report...
vector_only,Complex,0.0,0.0,What is the top 3 most frequent words mentioned in...
fixed_rrf,Complex,0.0,0.0,What is the top 3 most frequent words mentioned in...
adaptive_fixed,Complex,0.0,0.0,What is the top 3 most frequent words mentioned in...
qalf,Complex,0.0,0.0,What is the top 3 most frequent words mentioned in...
vector_only,Complex,0.0,0.0,What will happen if the government fails to establ...
fixed_rrf,Complex,1.0,1.0,What will happen if the government fails to establ...
adaptive_fixed,Complex,1.0,1.0,What will happen if the government fails to establ...
qalf,Complex,1.0,1.0,What will happen if the government fails to establ...
vector_only,Complex,0.6309297535714575,1.0,Did the Court allow the government to use proposed...
fixed_rrf,Complex,1.0,1.0,Did the Court allow the government to use proposed...
adaptive_fixed,Complex,1.0,1.0,Did the Court allow the government to use proposed...
qalf,Complex,1.0,1.0,Did the Court allow the government to use proposed...
vector_only,Complex,1.0,1.0,Was the United States' Motion to use Photographs i...
fixed_rrf,Complex,1.0,1.0,Was the United States' Motion to use Photographs i...
adaptive_fixed,Complex,1.0,1.0,Was the United States' Motion to use Photographs i...
qalf,Complex,1.0,1.0,Was the United States' Motion to use Photographs i...
vector_only,Complex,0.3562071871080222,1.0,How does Bureau Objective 2.1 support the JSP Goal...
fixed_rrf,Complex,0.3562071871080222,1.0,How does Bureau Objective 2.1 support the JSP Goal...
adaptive_fixed,Complex,0.3562071871080222,1.0,How does Bureau Objective 2.1 support the JSP Goal...
qalf,Complex,0.0,0.0,How does Bureau Objective 2.1 support the JSP Goal...
vector_only,Simple,0.0,0.0,What is the purpose of Bureau Objective 1.2?...
fixed_rrf,Simple,0.0,0.0,What is the purpose of Bureau Objective 1.2?...
adaptive_fixed,Simple,0.0,0.0,What is the purpose of Bureau Objective 1.2?...
qalf,Simple,0.0,0.0,What is the purpose of Bureau Objective 1.2?...
vector_only,Simple,0.43067655807339306,1.0,How does the Bureau plan to reduce the risk of vis...
fixed_rrf,Simple,1.0,1.0,How does the Bureau plan to reduce the risk of vis...
adaptive_fixed,Simple,1.0,1.0,How does the Bureau plan to reduce the risk of vis...
qalf,Simple,1.0,1.0,How does the Bureau plan to reduce the risk of vis...
vector_only,Simple,0.0,0.0,What does the CA acronym stand for in the context ...
fixed_rrf,Simple,0.6309297535714575,1.0,What does the CA acronym stand for in the context ...
adaptive_fixed,Simple,0.6309297535714575,1.0,What does the CA acronym stand for in the context ...
qalf,Simple,0.5,1.0,What does the CA acronym stand for in the context ...
vector_only,Complex,0.3562071871080222,1.0,What are the two main risks mentioned for the Mana...
fixed_rrf,Complex,0.5,1.0,What are the two main risks mentioned for the Mana...
adaptive_fixed,Complex,0.5,1.0,What are the two main risks mentioned for the Mana...
qalf,Complex,0.5,1.0,What are the two main risks mentioned for the Mana...
vector_only,Simple,0.5,1.0,Does the Department serve as a payroll shared serv...
fixed_rrf,Simple,1.0,1.0,Does the Department serve as a payroll shared serv...
adaptive_fixed,Simple,1.0,1.0,Does the Department serve as a payroll shared serv...
qalf,Simple,1.0,1.0,Does the Department serve as a payroll shared serv...
vector_only,Simple,1.0,1.0,What solution is the Department implementing to re...
fixed_rrf,Simple,1.0,1.0,What solution is the Department implementing to re...
adaptive_fixed,Simple,1.0,1.0,What solution is the Department implementing to re...
qalf,Simple,1.0,1.0,What solution is the Department implementing to re...
vector_only,Complex,0.6309297535714575,1.0,Did the Unobligated Balance from Prior Year Budget...
fixed_rrf,Complex,0.6309297535714575,1.0,Did the Unobligated Balance from Prior Year Budget...
adaptive_fixed,Complex,0.6309297535714575,1.0,Did the Unobligated Balance from Prior Year Budget...
qalf,Complex,0.6309297535714575,1.0,Did the Unobligated Balance from Prior Year Budget...
vector_only,Complex,1.0,1.0,How many authorized positions were vacant in the d...
fixed_rrf,Complex,1.0,1.0,How many authorized positions were vacant in the d...
adaptive_fixed,Complex,1.0,1.0,How many authorized positions were vacant in the d...
qalf,Complex,1.0,1.0,How many authorized positions were vacant in the d...
vector_only,Complex,1.0,1.0,Does El Salvador's Financial Intelligence Unit (FI...
fixed_rrf,Complex,1.0,1.0,Does El Salvador's Financial Intelligence Unit (FI...
adaptive_fixed,Complex,1.0,1.0,Does El Salvador's Financial Intelligence Unit (FI...
qalf,Complex,1.0,1.0,Does El Salvador's Financial Intelligence Unit (FI...
vector_only,Complex,0.6309297535714575,1.0,What sectors did the 2018 National Risk Assessment...
fixed_rrf,Complex,1.0,1.0,What sectors did the 2018 National Risk Assessment...
adaptive_fixed,Complex,1.0,1.0,What sectors did the 2018 National Risk Assessment...
qalf,Complex,1.0,1.0,What sectors did the 2018 National Risk Assessment...
vector_only,Complex,1.0,1.0,Has Brazil recovered any illicit funds blocked ove...
fixed_rrf,Complex,1.0,1.0,Has Brazil recovered any illicit funds blocked ove...
adaptive_fixed,Complex,1.0,1.0,Has Brazil recovered any illicit funds blocked ove...
qalf,Complex,1.0,1.0,Has Brazil recovered any illicit funds blocked ove...
vector_only,Simple,0.0,0.0,When was the document revised?...
fixed_rrf,Simple,0.0,0.0,When was the document revised?...
adaptive_fixed,Simple,0.0,0.0,When was the document revised?...
qalf,Simple,0.0,0.0,When was the document revised?...
vector_only,Simple,0.0,0.0,"How many times does the report mention ""PM""?..."
fixed_rrf,Simple,0.38685280723454163,1.0,"How many times does the report mention ""PM""?..."
adaptive_fixed,Simple,0.38685280723454163,1.0,"How many times does the report mention ""PM""?..."
qalf,Simple,0.0,0.0,"How many times does the report mention ""PM""?..."
vector_only,Complex,0.0,0.0,Is there a concern about the loss of institutional...
fixed_rrf,Complex,0.0,0.0,Is there a concern about the loss of institutional...
adaptive_fixed,Complex,0.0,0.0,Is there a concern about the loss of institutional...
qalf,Complex,0.0,0.0,Is there a concern about the loss of institutional...
vector_only,Simple,1.0,1.0,What strategies will the Bureau use to help partne...
fixed_rrf,Simple,1.0,1.0,What strategies will the Bureau use to help partne...
adaptive_fixed,Simple,1.0,1.0,What strategies will the Bureau use to help partne...
qalf,Simple,1.0,1.0,What strategies will the Bureau use to help partne...
vector_only,Simple,0.0,0.0,When was the document approved?...
fixed_rrf,Simple,0.0,0.0,When was the document approved?...
adaptive_fixed,Simple,0.0,0.0,When was the document approved?...
qalf,Simple,0.0,0.0,When was the document approved?...
vector_only,Simple,0.0,0.0,Which institutions or agencies release the documen...
fixed_rrf,Simple,0.0,0.0,Which institutions or agencies release the documen...
adaptive_fixed,Simple,0.0,0.0,Which institutions or agencies release the documen...
qalf,Simple,0.0,0.0,Which institutions or agencies release the documen...
vector_only,Simple,0.0,0.0,Did the State Only Accounts receive any supplement...
fixed_rrf,Simple,0.0,0.0,Did the State Only Accounts receive any supplement...
adaptive_fixed,Simple,0.0,0.0,Did the State Only Accounts receive any supplement...
qalf,Simple,0.0,0.0,Did the State Only Accounts receive any supplement...
vector_only,Complex,0.3562071871080222,1.0,What are the potential consequences of inaction in...
fixed_rrf,Complex,0.6309297535714575,1.0,What are the potential consequences of inaction in...
adaptive_fixed,Complex,0.6309297535714575,1.0,What are the potential consequences of inaction in...
qalf,Complex,0.6309297535714575,1.0,What are the potential consequences of inaction in...
vector_only,Complex,0.43067655807339306,1.0,Does the East Asia and Pacific Joint Regional Stra...
fixed_rrf,Complex,1.0,1.0,Does the East Asia and Pacific Joint Regional Stra...
adaptive_fixed,Complex,1.0,1.0,Does the East Asia and Pacific Joint Regional Stra...
qalf,Complex,1.0,1.0,Does the East Asia and Pacific Joint Regional Stra...
vector_only,Complex,0.6309297535714575,1.0,What is the original figure number associated with...
fixed_rrf,Complex,1.0,1.0,What is the original figure number associated with...
adaptive_fixed,Complex,1.0,1.0,What is the original figure number associated with...
qalf,Complex,1.0,1.0,What is the original figure number associated with...
vector_only,Complex,1.0,1.0,What is the performance score for Entity Recogniti...
fixed_rrf,Complex,1.0,1.0,What is the performance score for Entity Recogniti...
adaptive_fixed,Complex,1.0,1.0,What is the performance score for Entity Recogniti...
qalf,Complex,1.0,1.0,What is the performance score for Entity Recogniti...
vector_only,Complex,0.0,0.0,Which model has the highest F1 score for entity re...
fixed_rrf,Complex,0.31546487678572877,1.0,Which model has the highest F1 score for entity re...
adaptive_fixed,Complex,0.31546487678572877,1.0,Which model has the highest F1 score for entity re...
qalf,Complex,0.0,0.0,Which model has the highest F1 score for entity re...
vector_only,Simple,0.31546487678572877,1.0,Which model achieved the highest F1 score in span ...
fixed_rrf,Simple,0.6309297535714575,1.0,Which model achieved the highest F1 score in span ...
adaptive_fixed,Simple,0.6309297535714575,1.0,Which model achieved the highest F1 score in span ...
qalf,Simple,0.6309297535714575,1.0,Which model achieved the highest F1 score in span ...
vector_only,Simple,0.0,0.0,What is the document title?...
fixed_rrf,Simple,0.0,0.0,What is the document title?...
adaptive_fixed,Simple,0.0,0.0,What is the document title?...
qalf,Simple,0.0,0.0,What is the document title?...
vector_only,Simple,0.0,0.0,How many times does the document mention LSTM+CRF?...
fixed_rrf,Simple,0.3562071871080222,1.0,How many times does the document mention LSTM+CRF?...
adaptive_fixed,Simple,0.3562071871080222,1.0,How many times does the document mention LSTM+CRF?...
qalf,Simple,0.0,0.0,How many times does the document mention LSTM+CRF?...
vector_only,Complex,0.6309297535714575,1.0,Which Lebanese law enforcement organization worked...
fixed_rrf,Complex,0.6309297535714575,1.0,Which Lebanese law enforcement organization worked...
adaptive_fixed,Complex,0.6309297535714575,1.0,Which Lebanese law enforcement organization worked...
qalf,Complex,0.6309297535714575,1.0,Which Lebanese law enforcement organization worked...
vector_only,Simple,0.0,0.0,What is the most common abbreviation in the docume...
fixed_rrf,Simple,0.0,0.0,What is the most common abbreviation in the docume...
adaptive_fixed,Simple,0.0,0.0,What is the most common abbreviation in the docume...
qalf,Simple,0.0,0.0,What is the most common abbreviation in the docume...
vector_only,Simple,0.5,1.0,How many chapters are there in total in the docume...
fixed_rrf,Simple,0.38685280723454163,1.0,How many chapters are there in total in the docume...
adaptive_fixed,Simple,0.38685280723454163,1.0,How many chapters are there in total in the docume...
qalf,Simple,0.38685280723454163,1.0,How many chapters are there in total in the docume...
vector_only,Complex,0.0,0.0,Can you describe the trend in funding allocation f...
fixed_rrf,Complex,0.0,0.0,Can you describe the trend in funding allocation f...
adaptive_fixed,Complex,0.0,0.0,Can you describe the trend in funding allocation f...
qalf,Complex,0.0,0.0,Can you describe the trend in funding allocation f...
vector_only,Simple,0.0,0.0,What is the main content of the last three pages o...
fixed_rrf,Simple,0.0,0.0,What is the main content of the last three pages o...
adaptive_fixed,Simple,0.0,0.0,What is the main content of the last three pages o...
qalf,Simple,0.0,0.0,What is the main content of the last three pages o...
vector_only,Simple,0.0,0.0,How many pages does the report have?...
fixed_rrf,Simple,0.0,0.0,How many pages does the report have?...
adaptive_fixed,Simple,0.0,0.0,How many pages does the report have?...
qalf,Simple,0.0,0.0,How many pages does the report have?...
vector_only,Simple,0.5,1.0,What is the greatest risk to the Department due to...
fixed_rrf,Simple,1.0,1.0,What is the greatest risk to the Department due to...
adaptive_fixed,Simple,1.0,1.0,What is the greatest risk to the Department due to...
qalf,Simple,0.5,1.0,What is the greatest risk to the Department due to...
vector_only,Complex,0.3562071871080222,1.0,What is the Bureau's strategy for enhancing its em...
fixed_rrf,Complex,0.38685280723454163,1.0,What is the Bureau's strategy for enhancing its em...
adaptive_fixed,Complex,0.38685280723454163,1.0,What is the Bureau's strategy for enhancing its em...
qalf,Complex,0.43067655807339306,1.0,What is the Bureau's strategy for enhancing its em...
vector_only,Simple,0.0,0.0,"How many times does the document mention ""INSSG""?..."
fixed_rrf,Simple,0.3562071871080222,1.0,"How many times does the document mention ""INSSG""?..."
adaptive_fixed,Simple,0.3562071871080222,1.0,"How many times does the document mention ""INSSG""?..."
qalf,Simple,0.0,0.0,"How many times does the document mention ""INSSG""?..."
vector_only,Simple,0.0,0.0,What is the main content of the second-to-last pag...
fixed_rrf,Simple,0.0,0.0,What is the main content of the second-to-last pag...
adaptive_fixed,Simple,0.0,0.0,What is the main content of the second-to-last pag...
qalf,Simple,0.0,0.0,What is the main content of the second-to-last pag...
vector_only,Complex,0.0,0.0,What kind of resources are typically not required ...
fixed_rrf,Complex,0.0,0.0,What kind of resources are typically not required ...
adaptive_fixed,Complex,0.0,0.0,What kind of resources are typically not required ...
qalf,Complex,0.0,0.0,What kind of resources are typically not required ...
vector_only,Simple,0.0,0.0,What is the title of the document?...
fixed_rrf,Simple,0.0,0.0,What is the title of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the title of the document?...
qalf,Simple,0.0,0.0,What is the title of the document?...
vector_only,Simple,0.0,0.0,How many words are there in the document?...
fixed_rrf,Simple,0.0,0.0,How many words are there in the document?...
adaptive_fixed,Simple,0.0,0.0,How many words are there in the document?...
qalf,Simple,0.0,0.0,How many words are there in the document?...
vector_only,Simple,0.0,0.0,What is Bureau Goal 5 mainly talking about?...
fixed_rrf,Simple,0.0,0.0,What is Bureau Goal 5 mainly talking about?...
adaptive_fixed,Simple,0.0,0.0,What is Bureau Goal 5 mainly talking about?...
qalf,Simple,0.0,0.0,What is Bureau Goal 5 mainly talking about?...
vector_only,Complex,0.5,1.0,What is the main focus of INL to mitigate the risk...
fixed_rrf,Complex,1.0,1.0,What is the main focus of INL to mitigate the risk...
adaptive_fixed,Complex,1.0,1.0,What is the main focus of INL to mitigate the risk...
qalf,Complex,1.0,1.0,What is the main focus of INL to mitigate the risk...
vector_only,Simple,0.43067655807339306,1.0,Is disrupting synthetic drug markets one of the ob...
fixed_rrf,Simple,1.0,1.0,Is disrupting synthetic drug markets one of the ob...
adaptive_fixed,Simple,1.0,1.0,Is disrupting synthetic drug markets one of the ob...
qalf,Simple,1.0,1.0,Is disrupting synthetic drug markets one of the ob...
vector_only,Complex,0.5,1.0,"What is the purpose of the facility in Portsmouth,..."
fixed_rrf,Complex,1.0,1.0,"What is the purpose of the facility in Portsmouth,..."
adaptive_fixed,Complex,1.0,1.0,"What is the purpose of the facility in Portsmouth,..."
qalf,Complex,1.0,1.0,"What is the purpose of the facility in Portsmouth,..."
vector_only,Complex,0.5,1.0,How does the U.S. Department of State support its ...
fixed_rrf,Complex,0.6309297535714575,1.0,How does the U.S. Department of State support its ...
adaptive_fixed,Complex,0.6309297535714575,1.0,How does the U.S. Department of State support its ...
qalf,Complex,0.5,1.0,How does the U.S. Department of State support its ...
vector_only,Complex,0.6309297535714575,1.0,On which page does the report present the chart of...
fixed_rrf,Complex,0.6309297535714575,1.0,On which page does the report present the chart of...
adaptive_fixed,Complex,0.6309297535714575,1.0,On which page does the report present the chart of...
qalf,Complex,1.0,1.0,On which page does the report present the chart of...
vector_only,Complex,0.0,0.0,How many tables and figures are there in total in ...
fixed_rrf,Complex,0.3562071871080222,1.0,How many tables and figures are there in total in ...
adaptive_fixed,Complex,0.3562071871080222,1.0,How many tables and figures are there in total in ...
qalf,Complex,0.43067655807339306,1.0,How many tables and figures are there in total in ...
vector_only,Simple,0.0,0.0,What is the major content of page 200?...
fixed_rrf,Simple,0.3333333333333333,1.0,What is the major content of page 200?...
adaptive_fixed,Simple,0.3333333333333333,1.0,What is the major content of page 200?...
qalf,Simple,0.0,0.0,What is the major content of page 200?...
vector_only,Simple,0.6309297535714575,1.0,On which page does the report detail the Bureau Ob...
fixed_rrf,Simple,0.3333333333333333,1.0,On which page does the report detail the Bureau Ob...
adaptive_fixed,Simple,0.3333333333333333,1.0,On which page does the report detail the Bureau Ob...
qalf,Simple,0.3562071871080222,1.0,On which page does the report detail the Bureau Ob...
vector_only,Simple,0.38685280723454163,1.0,"How many times does the document mention ""DS""?..."
fixed_rrf,Simple,1.0,1.0,"How many times does the document mention ""DS""?..."
adaptive_fixed,Simple,1.0,1.0,"How many times does the document mention ""DS""?..."
qalf,Simple,1.0,1.0,"How many times does the document mention ""DS""?..."
vector_only,Simple,0.0,0.0,What is the revision date of the document?...
fixed_rrf,Simple,0.0,0.0,What is the revision date of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the revision date of the document?...
qalf,Simple,0.0,0.0,What is the revision date of the document?...
vector_only,Complex,1.0,1.0,What essential factors must be considered for S/GW...
fixed_rrf,Complex,1.0,1.0,What essential factors must be considered for S/GW...
adaptive_fixed,Complex,1.0,1.0,What essential factors must be considered for S/GW...
qalf,Complex,1.0,1.0,What essential factors must be considered for S/GW...
vector_only,Simple,0.0,0.0,What is the title of the document?...
fixed_rrf,Simple,0.0,0.0,What is the title of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the title of the document?...
qalf,Simple,0.0,0.0,What is the title of the document?...
vector_only,Simple,0.0,0.0,What is the major message conveyed in the last pag...
fixed_rrf,Simple,0.0,0.0,What is the major message conveyed in the last pag...
adaptive_fixed,Simple,0.0,0.0,What is the major message conveyed in the last pag...
qalf,Simple,0.0,0.0,What is the major message conveyed in the last pag...
vector_only,Simple,0.0,0.0,What is the primary focus of Bureau Objective 3.4?...
fixed_rrf,Simple,0.0,0.0,What is the primary focus of Bureau Objective 3.4?...
adaptive_fixed,Simple,0.0,0.0,What is the primary focus of Bureau Objective 3.4?...
qalf,Simple,0.0,0.0,What is the primary focus of Bureau Objective 3.4?...
vector_only,Simple,0.0,0.0,What is the most common abbreviation in the report...
fixed_rrf,Simple,0.0,0.0,What is the most common abbreviation in the report...
adaptive_fixed,Simple,0.0,0.0,What is the most common abbreviation in the report...
qalf,Simple,0.0,0.0,What is the most common abbreviation in the report...
vector_only,Simple,0.0,0.0,When was the document approved?...
fixed_rrf,Simple,0.0,0.0,When was the document approved?...
adaptive_fixed,Simple,0.0,0.0,When was the document approved?...
qalf,Simple,0.0,0.0,When was the document approved?...
vector_only,Simple,0.0,0.0,when was the document revised?...
fixed_rrf,Simple,0.0,0.0,when was the document revised?...
adaptive_fixed,Simple,0.0,0.0,when was the document revised?...
qalf,Simple,0.0,0.0,when was the document revised?...
vector_only,Simple,1.0,1.0,Does PEPFAR have experience working with marginali...
fixed_rrf,Simple,1.0,1.0,Does PEPFAR have experience working with marginali...
adaptive_fixed,Simple,1.0,1.0,Does PEPFAR have experience working with marginali...
qalf,Simple,1.0,1.0,Does PEPFAR have experience working with marginali...
vector_only,Complex,0.6309297535714575,1.0,Will PEPFAR increase its funding and support for c...
fixed_rrf,Complex,1.0,1.0,Will PEPFAR increase its funding and support for c...
adaptive_fixed,Complex,1.0,1.0,Will PEPFAR increase its funding and support for c...
qalf,Complex,1.0,1.0,Will PEPFAR increase its funding and support for c...
vector_only,Simple,0.0,0.0,What institution or agency released the report?...
fixed_rrf,Simple,0.0,0.0,What institution or agency released the report?...
adaptive_fixed,Simple,0.0,0.0,What institution or agency released the report?...
qalf,Simple,0.0,0.0,What institution or agency released the report?...
vector_only,Simple,0.0,0.0,How many pages does the report have in total?...
fixed_rrf,Simple,0.0,0.0,How many pages does the report have in total?...
adaptive_fixed,Simple,0.0,0.0,How many pages does the report have in total?...
qalf,Simple,0.0,0.0,How many pages does the report have in total?...
vector_only,Complex,0.0,0.0,What are the names of authors that wrote this docu...
fixed_rrf,Complex,0.0,0.0,What are the names of authors that wrote this docu...
adaptive_fixed,Complex,0.0,0.0,What are the names of authors that wrote this docu...
qalf,Complex,0.0,0.0,What are the names of authors that wrote this docu...
vector_only,Complex,0.0,0.0,Are the approval and revision times the same for t...
fixed_rrf,Complex,0.0,0.0,Are the approval and revision times the same for t...
adaptive_fixed,Complex,0.0,0.0,Are the approval and revision times the same for t...
qalf,Complex,0.0,0.0,Are the approval and revision times the same for t...
vector_only,Complex,0.0,0.0,On which page does the document detail Bureau Obje...
fixed_rrf,Complex,0.0,0.0,On which page does the document detail Bureau Obje...
adaptive_fixed,Complex,0.0,0.0,On which page does the document detail Bureau Obje...
qalf,Complex,0.0,0.0,On which page does the document detail Bureau Obje...
vector_only,Simple,0.0,0.0,What is the brief summary of Section 6?...
fixed_rrf,Simple,0.0,0.0,What is the brief summary of Section 6?...
adaptive_fixed,Simple,0.0,0.0,What is the brief summary of Section 6?...
qalf,Simple,0.0,0.0,What is the brief summary of Section 6?...
vector_only,Complex,0.43067655807339306,1.0,What specific areas will OBO incorporate Enterpris...
fixed_rrf,Complex,1.0,1.0,What specific areas will OBO incorporate Enterpris...
adaptive_fixed,Complex,1.0,1.0,What specific areas will OBO incorporate Enterpris...
qalf,Complex,0.6309297535714575,1.0,What specific areas will OBO incorporate Enterpris...
vector_only,Complex,0.0,0.0,How many major sections are listed in the Table of...
fixed_rrf,Complex,0.0,0.0,How many major sections are listed in the Table of...
adaptive_fixed,Complex,0.0,0.0,How many major sections are listed in the Table of...
qalf,Complex,0.0,0.0,How many major sections are listed in the Table of...
vector_only,Complex,1.0,1.0,Did BERT's best performance on the Argument Reason...
fixed_rrf,Complex,0.43067655807339306,1.0,Did BERT's best performance on the Argument Reason...
adaptive_fixed,Complex,0.43067655807339306,1.0,Did BERT's best performance on the Argument Reason...
