Directory,Query_ID,System,NDCG@10,Recall@10,Accuracy@1,Complexity,Ling_Comp,Sem_Comp,Mod_Comp,Ctx_Comp
105,105_0,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
105,105_0,fixed_rrf,0.6309297535714575,1.0,0.0,Simple,Medium,Low,Low,Low
105,105_0,qalf,1.0,1.0,1.0,Simple,Medium,Low,Low,Low
105,105_1,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
105,105_1,fixed_rrf,0.6309297535714575,1.0,0.0,Simple,Medium,Low,Low,Low
105,105_1,qalf,0.5,1.0,0.0,Simple,Medium,Low,Low,Low
105,105_2,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
105,105_2,fixed_rrf,0.31546487678572877,1.0,0.0,Complex,Medium,Medium,Low,Medium
105,105_2,qalf,0.3333333333333333,1.0,0.0,Complex,Medium,Medium,Low,Medium
106,106_0,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
106,106_0,fixed_rrf,0.6309297535714575,1.0,0.0,Simple,Medium,Low,Low,Low
106,106_0,qalf,0.5,1.0,0.0,Simple,Medium,Low,Low,Low
106,106_1,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
106,106_1,fixed_rrf,0.6309297535714575,1.0,0.0,Simple,Medium,Low,Low,Low
106,106_1,qalf,0.6309297535714575,1.0,0.0,Simple,Medium,Low,Low,Low
106,106_2,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
106,106_2,fixed_rrf,0.43067655807339306,1.0,0.0,Complex,Medium,Medium,Low,Medium
106,106_2,qalf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
106,106_3,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
106,106_3,fixed_rrf,0.5,1.0,0.0,Complex,Medium,Low,Low,Medium
106,106_3,qalf,0.5,1.0,0.0,Complex,Medium,Low,Low,Medium
107,107_0,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
107,107_0,fixed_rrf,0.38685280723454163,1.0,0.0,Complex,Medium,Medium,Low,Medium
107,107_0,qalf,0.38685280723454163,1.0,0.0,Complex,Medium,Medium,Low,Medium
107,107_1,vector_only,0.0,0.0,0.0,Complex,High,Medium,Low,Low
107,107_1,fixed_rrf,0.5,1.0,0.0,Complex,High,Medium,Low,Low
107,107_1,qalf,0.3010299956639812,1.0,0.0,Complex,High,Medium,Low,Low
107,107_2,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
107,107_2,fixed_rrf,0.43067655807339306,1.0,0.0,Complex,Medium,Medium,Low,Medium
107,107_2,qalf,0.43067655807339306,1.0,0.0,Complex,Medium,Medium,Low,Medium
108,108_0,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
108,108_0,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
108,108_0,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
108,108_1,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
108,108_1,fixed_rrf,0.3562071871080222,1.0,0.0,Simple,Medium,Low,Low,Low
108,108_1,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
108,108_2,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
108,108_2,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
108,108_2,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
108,108_3,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
108,108_3,fixed_rrf,1.0,1.0,1.0,Simple,Medium,Low,Low,Low
108,108_3,qalf,0.6309297535714575,1.0,0.0,Simple,Medium,Low,Low,Low
109,109_0,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
109,109_0,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
109,109_0,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
109,109_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
109,109_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
109,109_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
109,109_2,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
109,109_2,fixed_rrf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
109,109_2,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
109,109_3,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
109,109_3,fixed_rrf,0.3562071871080222,1.0,0.0,Complex,Medium,Low,Low,Medium
109,109_3,qalf,0.3562071871080222,1.0,0.0,Complex,Medium,Low,Low,Medium
109,109_4,vector_only,0.0,0.0,0.0,Complex,Medium,High,Low,Low
109,109_4,fixed_rrf,0.38685280723454163,1.0,0.0,Complex,Medium,High,Low,Low
109,109_4,qalf,0.38685280723454163,1.0,0.0,Complex,Medium,High,Low,Low
11,11_0,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Medium,Medium
11,11_0,fixed_rrf,0.43067655807339306,1.0,0.0,Complex,Medium,Low,Medium,Medium
11,11_0,qalf,0.5,1.0,0.0,Complex,Medium,Low,Medium,Medium
11,11_1,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
11,11_1,fixed_rrf,0.5,1.0,0.0,Complex,Medium,Medium,Low,Medium
11,11_1,qalf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
11,11_2,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
11,11_2,fixed_rrf,0.31546487678572877,1.0,0.0,Complex,Medium,Low,Low,Medium
11,11_2,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
11,11_3,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
11,11_3,fixed_rrf,0.43067655807339306,1.0,0.0,Simple,Medium,Low,Low,Low
11,11_3,qalf,0.3562071871080222,1.0,0.0,Simple,Medium,Low,Low,Low
11,11_4,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
11,11_4,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
11,11_4,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
11,11_5,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
11,11_5,fixed_rrf,0.3562071871080222,1.0,0.0,Simple,Low,Low,Low,Low
11,11_5,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
110,110_0,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
110,110_0,fixed_rrf,0.38685280723454163,1.0,0.0,Complex,Medium,Low,Low,Medium
110,110_0,qalf,0.38685280723454163,1.0,0.0,Complex,Medium,Low,Low,Medium
110,110_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
110,110_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
110,110_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
110,110_2,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
110,110_2,fixed_rrf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
110,110_2,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
110,110_3,vector_only,0.0,0.0,0.0,Complex,High,Medium,Low,Medium
110,110_3,fixed_rrf,0.0,0.0,0.0,Complex,High,Medium,Low,Medium
110,110_3,qalf,0.0,0.0,0.0,Complex,High,Medium,Low,Medium
111,111_0,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
111,111_0,fixed_rrf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
111,111_0,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
111,111_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
111,111_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
111,111_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
111,111_2,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
111,111_2,fixed_rrf,0.43067655807339306,1.0,0.0,Simple,Medium,Low,Low,Low
111,111_2,qalf,0.5,1.0,0.0,Simple,Medium,Low,Low,Low
111,111_3,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
111,111_3,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
111,111_3,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
112,112_0,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
112,112_0,fixed_rrf,0.3333333333333333,1.0,0.0,Simple,Medium,Low,Low,Low
112,112_0,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
112,112_1,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
112,112_1,fixed_rrf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
112,112_1,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
112,112_2,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
112,112_2,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
112,112_2,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
113,113_0,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
113,113_0,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
113,113_0,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
113,113_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
113,113_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
113,113_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
113,113_2,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
113,113_2,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
113,113_2,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
113,113_3,vector_only,0.0,0.0,0.0,Complex,High,Low,Low,Medium
113,113_3,fixed_rrf,0.43067655807339306,1.0,0.0,Complex,High,Low,Low,Medium
113,113_3,qalf,0.43067655807339306,1.0,0.0,Complex,High,Low,Low,Medium
113,113_4,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
113,113_4,fixed_rrf,0.43067655807339306,1.0,0.0,Simple,Medium,Low,Low,Low
113,113_4,qalf,0.43067655807339306,1.0,0.0,Simple,Medium,Low,Low,Low
114,114_0,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
114,114_0,fixed_rrf,0.6309297535714575,1.0,0.0,Complex,Medium,Medium,Low,Medium
114,114_0,qalf,0.6309297535714575,1.0,0.0,Complex,Medium,Medium,Low,Medium
114,114_1,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
114,114_1,fixed_rrf,0.3010299956639812,1.0,0.0,Complex,Medium,Low,Low,Medium
114,114_1,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
114,114_2,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Medium,Low
114,114_2,fixed_rrf,0.5,1.0,0.0,Complex,Medium,Low,Medium,Low
114,114_2,qalf,0.5,1.0,0.0,Complex,Medium,Low,Medium,Low
114,114_3,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Medium,Low
114,114_3,fixed_rrf,0.3333333333333333,1.0,0.0,Complex,Medium,Medium,Medium,Low
114,114_3,qalf,0.43067655807339306,1.0,0.0,Complex,Medium,Medium,Medium,Low
114,114_4,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
114,114_4,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
114,114_4,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
115,115_0,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
115,115_0,fixed_rrf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
115,115_0,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
115,115_1,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
115,115_1,fixed_rrf,0.6309297535714575,1.0,0.0,Simple,Medium,Low,Low,Low
115,115_1,qalf,0.5,1.0,0.0,Simple,Medium,Low,Low,Low
115,115_2,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
115,115_2,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
115,115_2,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
116,116_0,vector_only,0.0,0.0,0.0,Complex,High,Medium,Low,Low
116,116_0,fixed_rrf,0.3333333333333333,1.0,0.0,Complex,High,Medium,Low,Low
116,116_0,qalf,0.0,0.0,0.0,Complex,High,Medium,Low,Low
116,116_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
116,116_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
116,116_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
116,116_2,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
116,116_2,fixed_rrf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
116,116_2,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
116,116_3,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
116,116_3,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
116,116_3,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_0,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_0,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_0,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_2,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_2,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_2,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
117,117_3,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
117,117_3,fixed_rrf,1.0,1.0,1.0,Simple,Low,Low,Low,Medium
117,117_3,qalf,0.5,1.0,0.0,Simple,Low,Low,Low,Medium
117,117_4,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
117,117_4,fixed_rrf,1.0,1.0,1.0,Complex,Medium,Medium,Low,Medium
117,117_4,qalf,1.0,1.0,1.0,Complex,Medium,Medium,Low,Medium
118,118_0,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
118,118_0,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
118,118_0,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
118,118_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
118,118_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
118,118_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
118,118_2,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
118,118_2,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
118,118_2,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
119,119_0,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
119,119_0,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
119,119_0,qalf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
119,119_1,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
119,119_1,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
119,119_1,qalf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
119,119_2,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
119,119_2,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
119,119_2,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
119,119_3,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
119,119_3,fixed_rrf,0.43067655807339306,1.0,0.0,Complex,Medium,Medium,Low,Low
119,119_3,qalf,0.31546487678572877,1.0,0.0,Complex,Medium,Medium,Low,Low
119,119_4,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Medium,Low
119,119_4,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Low,Medium,Low
119,119_4,qalf,0.0,0.0,0.0,Complex,Medium,Low,Medium,Low
12,12_0,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
12,12_0,fixed_rrf,0.43067655807339306,1.0,0.0,Complex,Medium,Medium,Low,Low
12,12_0,qalf,0.31546487678572877,1.0,0.0,Complex,Medium,Medium,Low,Low
12,12_1,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
12,12_1,fixed_rrf,0.38685280723454163,1.0,0.0,Complex,Medium,Medium,Low,Medium
12,12_1,qalf,0.3562071871080222,1.0,0.0,Complex,Medium,Medium,Low,Medium
12,12_2,vector_only,0.0,0.0,0.0,Complex,High,Medium,Medium,Low
12,12_2,fixed_rrf,0.31546487678572877,1.0,0.0,Complex,High,Medium,Medium,Low
12,12_2,qalf,0.31546487678572877,1.0,0.0,Complex,High,Medium,Medium,Low
12,12_3,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
12,12_3,fixed_rrf,0.43067655807339306,1.0,0.0,Complex,Medium,Low,Low,Medium
12,12_3,qalf,0.43067655807339306,1.0,0.0,Complex,Medium,Low,Low,Medium
120,120_0,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
120,120_0,fixed_rrf,0.3010299956639812,1.0,0.0,Complex,Medium,Medium,Low,Medium
120,120_0,qalf,0.3562071871080222,1.0,0.0,Complex,Medium,Medium,Low,Medium
120,120_1,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
120,120_1,fixed_rrf,0.5,1.0,0.0,Complex,Medium,Medium,Low,Medium
120,120_1,qalf,0.38685280723454163,1.0,0.0,Complex,Medium,Medium,Low,Medium
120,120_2,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
120,120_2,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
120,120_2,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
120,120_3,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
120,120_3,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
120,120_3,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
120,120_4,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
120,120_4,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
120,120_4,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
121,121_0,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
121,121_0,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
121,121_0,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
121,121_1,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
121,121_1,fixed_rrf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
121,121_1,qalf,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
121,121_2,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
121,121_2,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
121,121_2,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
121,121_3,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
121,121_3,fixed_rrf,1.0,1.0,1.0,Simple,Medium,Low,Low,Low
121,121_3,qalf,0.43067655807339306,1.0,0.0,Simple,Medium,Low,Low,Low
122,122_0,vector_only,0.6309297535714575,1.0,0.0,Complex,Medium,High,Low,Low
122,122_0,fixed_rrf,1.0,1.0,1.0,Complex,Medium,High,Low,Low
